Nx,Ny,dmax,Tmax_C,Tmean_C,time_s
61,31,0.00025,49.44099529236358,34.271391771778546,1.6968609830000787
61,31,0.0005,43.16327036518372,32.43533597812391,1.9368515930036665
61,31,0.001,41.11072109512589,29.171364830312598,2.554780455000582
121,61,0.00025,49.53602826138239,34.548597668300715,6.312762033994659
121,61,0.0005,42.34881948299314,32.34501657497271,7.8070511580008315
121,61,0.001,40.54688324781667,28.75000203884779,10.84656613200059
241,121,0.00025,49.40226160166001,34.70472752364322,25.542929736002407
241,121,0.0005,42.21274608746684,32.30072341111367,30.819369614997413
241,121,0.001,40.392757766149664,28.86058429179047,41.80331066900544
